ID,URL,Source_Domain,Source_Type,Title,Snippet,Publish_Date,Category_Guess,Score,Reason,Status,Collected_By,Added_On,Last_Checked,RepFlag,has_CVE,has_TID,has_IOC,has_MiningTok,has_NFSTok,has_SSHTok,SigFlag,Quality2,Quality4,__SelectedCategory
,https://ubuntu.com/security/notices/USN-7735-1,ubuntu.com,RSS,USN-7735-1: RubyGems vulnerabilities,"It was discovered that RubyGems incorrectly handled certain regular
expressions. An attacker could use this issue to cause RubyGems to crash,
resulting in a denial of service. This issue only affected Ubuntu 22.04
LTS. (CVE-2023-28755)

It was discovered that RubyGems incorrectly handled decompressed domain
names within a DNS packet. An attacker could use this issue to cause
RubyGems to crash, resulting in a denial of service. This issue only
affected Ubuntu 25.04. (CVE-2025-24294)",2025-09-03T12:43:45+00:00,SSH & Credential Abuse,0.6975,"dom_w=0.85, rec=1.0, cat_hits=0, sig=3",New,,2025-09-05T19:23:49.885403,,1,1,0,1,0,0,0,1,2,3,SSH & Credential Abuse
,https://ubuntu.com/security/notices/USN-7734-1,ubuntu.com,RSS,USN-7734-1: Ruby vulnerabilities,"It was discovered that Ruby incorrectly handled certain IO stream
methods. A remote attacker could use this issue to cause Ruby to crash,
resulting in a denial of service, or possibly obtain sensitive
information. This issue only affected Ubuntu 18.04 LTS. (CVE-2024-27280)

It was discovered that the Ruby regex compiler incorrectly handled
certain memory operations. A remote attacker could possibly use this
issue to obtain sensitive memory contents. This issue only affected
Ubuntu 18.04 LTS. (CVE-2024-27282)

It was discovered that Ruby incorrectly handled parsing of certain XML
characters through the REXML gem. An attacker could use this issue to
cause Ruby to crash, resulting in a denial of service. This issue only
affected Ubuntu 18.04 LTS. (CVE-2024-35176)

It was discovered that Ruby incorrectly handled decompressed domain names
within a DNS packet. An attacker could use this issue to cause Ruby to
crash, resulting in a denial of service. (CVE-2025-24294)",2025-09-03T12:40:42+00:00,SSH & Credential Abuse,0.6975,"dom_w=0.85, rec=1.0, cat_hits=0, sig=3",New,,2025-09-05T19:23:49.885579,,1,1,0,1,0,0,0,1,2,3,SSH & Credential Abuse
,https://www.huntress.com/blog/everything-we-know-about-cve-2023-23397,www.huntress.com,RSS,Everything We Know About CVE-2023-23397 | Huntress,"Huntress is tracking CVE-2023-23397, a 0-day that impacts Microsoft Outlook and requires no user interaction to expose user credential hashes.",2023-03-17T00:00:00+00:00,SSH & Credential Abuse,0.6443,"dom_w=0.75, rec=0.94, cat_hits=0, sig=3",New,,2025-09-05T19:23:41.088019,,1,1,0,1,0,0,0,1,2,3,SSH & Credential Abuse
,https://unit42.paloaltonetworks.com/erlang-otp-cve-2025-32433/,unit42.paloaltonetworks.com,RSS,Keys to the Kingdom: Erlang/OTP SSH Vulnerability Analysis and Exploits Observed in the Wild,"<p>CVE-2025-32433 allows for remote code execution in sshd for certain versions of Erlang programming language’s OTP. We reproduced this CVE and share our findings. </p>
<p>The post <a href=""https://unit42.paloaltonetworks.com/erlang-otp-cve-2025-32433/"">Keys to the Kingdom: Erlang/OTP SSH Vulnerability Analysis and Exploits Observed in the Wild</a> appeared first on <a href=""https://unit42.paloaltonetworks.com"">Unit 42</a>.</p>",2025-08-11T10:00:48+00:00,SSH & Credential Abuse,0.8653,"dom_w=0.95, rec=1.0, cat_hits=2, sig=2",New,,2025-09-05T18:05:24.763728,,1,1,0,0,0,0,1,1,2,2,SSH & Credential Abuse
,https://unit42.paloaltonetworks.com/attackers-sell-your-bandwidth-using-sdks/,unit42.paloaltonetworks.com,RSS,"Your Connection, Their Cash: Threat Actors Misuse SDKs to Sell Your Bandwidth","<p>A campaign leverages CVE-2024-36401 to stealthily monetize victims' bandwidth where legitimate software development kits (SDKs) are deployed for passive income.</p>
<p>The post <a href=""https://unit42.paloaltonetworks.com/attackers-sell-your-bandwidth-using-sdks/"">Your Connection, Their Cash: Threat Actors Misuse SDKs to Sell Your Bandwidth</a> appeared first on <a href=""https://unit42.paloaltonetworks.com"">Unit 42</a>.</p>",2025-08-21T10:00:32+00:00,SSH & Credential Abuse,0.6989,"dom_w=0.95, rec=1.0, cat_hits=0, sig=2",New,,2025-09-05T18:05:24.763241,,1,1,0,0,0,0,0,1,2,2,SSH & Credential Abuse
,https://www.huntress.com/blog/exploitation-of-sonicwall-vpn,www.huntress.com,RSS,Active Exploitation of SonicWall VPNs,A likely zero-day vulnerability in SonicWall VPNs is being actively exploited to bypass MFA and deploy ransomware. Huntress advises disabling the VPN service immediately or severely restricting access via IP allow-listing. We're seeing threat actors pivot directly to domain controllers within hours of the initial breach.,2025-08-13T22:00:00+00:00,SSH & Credential Abuse,0.6787,"dom_w=0.75, rec=1.0, cat_hits=1, sig=1",New,,2025-09-05T19:23:41.073827,,1,0,0,1,0,0,0,1,2,2,SSH & Credential Abuse
,https://ubuntu.com/security/notices/USN-7741-1,ubuntu.com,RSS,USN-7741-1: PostgreSQL vulnerabilities,"Dean Rasheed discovered that PostgreSQL incorrectly handled access control
lists. An attacker could possibly use this issue to obtain sensitive
information. (CVE-2025-8713)

Martin Rakhmanov, Matthieu Denais, and RyotaK discovered that the PostgreSQL
pg_dump utility allowed untrusted data inclusion. A malicious superuser
could use this issue to execute arbitrary code when a dump script is
reloaded. (CVE-2025-8714)

Noah Misch discovered that the PostgreSQL pg_dump utility incorrectly
filtered line breaks in object names. An attacker could create object names
that execute arbitrary SQL commands when a dump script is reloaded.
(CVE-2025-8715)",2025-09-08T14:23:51+00:00,SSH & Credential Abuse,0.6642,"dom_w=0.85, rec=1.0, cat_hits=0, sig=2",New,,2025-09-08T23:34:20.019281,,1,1,0,0,0,0,0,1,2,2,SSH & Credential Abuse
,https://ubuntu.com/security/notices/USN-7725-3,ubuntu.com,RSS,USN-7725-3: Linux kernel vulnerabilities,"Several security issues were discovered in the Linux kernel.
An attacker could possibly use these to compromise the system.
This update corrects flaws in the following subsystems:
  - Overlay file system;
  - Network traffic control;
(CVE-2025-21887, CVE-2024-57996, CVE-2025-38350, CVE-2025-37752)",2025-09-02T18:45:34+00:00,SSH & Credential Abuse,0.6641,"dom_w=0.85, rec=1.0, cat_hits=0, sig=2",New,,2025-09-05T19:23:49.886023,,1,1,0,0,0,0,0,1,2,2,SSH & Credential Abuse
,https://ubuntu.com/security/notices/USN-7731-1,ubuntu.com,RSS,USN-7731-1: KMail vulnerabilities,"Damian Poddebniak, Christian Dresen, Jens Müller, Fabian Ising,
Sebastian Schinzel, Simon Friedberger, Juraj Somorovsky, and Jörg
Schwenk discovered that KMail could be made to leak the plaintext
of S/MIME encrypted emails when retrieving external content in emails.
Under certain configurations, if a user were tricked into opening a
specially crafted email, an attacker could possibly use this issue to
obtain the plaintext of an encrypted email. This update mitigates the
issue by preventing KMail from automatically loading external content.
This issue only affected Ubuntu 18.04 LTS. (CVE-2017-17689)

It was discovered that KMail could be made to attach files to an email
without the user's knowledge. If a user were tricked into sending an
email created by a specially crafted ""mailto"" link, an attacker could
possibly use this issue to obtain sensitive files. (CVE-2020-11880)",2025-09-02T19:13:09+00:00,SSH & Credential Abuse,0.6641,"dom_w=0.85, rec=1.0, cat_hits=0, sig=2",New,,2025-09-05T19:23:49.885939,,1,1,0,0,0,0,0,1,2,2,SSH & Credential Abuse
,https://ubuntu.com/security/notices/USN-7629-2,ubuntu.com,RSS,USN-7629-2: Protocol Buffers vulnerabilities,"USN-7435-1 and USN-7629-1 fixed vulnerabilities in Protocol Buffers
for several releases of Ubuntu. This update provides the corresponding
fixes for Ubuntu 16.04 LTS, Ubuntu 18.04 LTS, and Ubuntu 20.04 LTS.

Original advisory details:

 It was discovered that Protocol Buffers incorrectly handled memory when
 receiving malicious input using the Python bindings. An attacker could
 possibly use this issue to cause a denial of service. (CVE-2025-4565)

 It was discovered that Protocol Buffers incorrectly handled memory when
 receiving malicious input using the Java bindings. An attacker could
 possibly use this issue to cause a denial of service. This issue only
 affected Ubuntu 25.04. (CVE-2024-7254)",2025-09-02T22:03:54+00:00,SSH & Credential Abuse,0.6641,"dom_w=0.85, rec=1.0, cat_hits=0, sig=2",New,,2025-09-05T19:23:49.885710,,1,1,0,0,0,0,0,1,2,2,SSH & Credential Abuse
