URL,Title,Source_Domain,Publish_Date,Score,RepFlag,SigFlag,Quality2,Quality4,has_CVE,has_TID,has_IOC
https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-239a,Countering Chinese State-Sponsored Actors Compromise of Networks Worldwide to Feed Global Espionage System,www.cisa.gov,2025-08-27T12:00:00+00:00,1.1664,1,1,2,3,1,0,1
https://www.huntress.com/blog/confluence-to-cerber-exploitation-of-cve-2023-22518-for-ransomware-deployment,Confluence to Cerber: Exploitation of ​​CVE-2023-22518,www.huntress.com,2023-11-07T00:00:00+00:00,0.7823,1,1,2,2,1,0,0
https://thedfirreport.com/2025/05/19/another-confluence-bites-the-dust-falling-to-elpaco-team-ransomware/,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,thedfirreport.com,2025-05-19T00:05:39+00:00,0.7452,1,1,2,2,1,0,0
https://thedfirreport.com/2025/02/24/confluence-exploit-leads-to-lockbit-ransomware/,Confluence Exploit Leads to LockBit Ransomware,thedfirreport.com,2025-02-24T00:06:37+00:00,0.7435,1,1,2,2,1,0,0
https://www.huntress.com/blog/exposing-data-exfiltration-lolbin-ttp-binaries,"Exposing Data Exfiltration: Detecting LOLBins, TTPs, and Ransomware Tactics",www.huntress.com,2025-08-19T14:00:00+00:00,0.7288,1,0,1,1,0,0,0
https://www.huntress.com/blog/examining-the-impact-of-ransomware-on-the-healthcare-sector-and-new-hhs-guidelines,Examining the Impact of Ransomware on the Healthcare Sector and New HHS Guidelines | Huntress,www.huntress.com,2024-06-08T06:00:00+00:00,0.7199,1,0,1,1,0,0,0
https://www.huntress.com/blog/using-backup-utilities-for-data-exfiltration,Using Backup Utilities for Data Exfiltration | Huntress,www.huntress.com,2024-03-13T00:00:00+00:00,0.7181,1,0,1,1,0,0,0
https://unit42.paloaltonetworks.com/ak47-activity-linked-to-sharepoint-vulnerabilities/,Project AK47: Uncovering a Link to the SharePoint Vulnerability Attacks,unit42.paloaltonetworks.com,2025-08-05T23:00:47+00:00,0.7152,1,0,1,1,0,0,0
https://www.huntress.com/blog/the-value-of-managed-edr-for-the-modern-msp,The Value of Managed EDR for the Modern MSP | Huntress,www.huntress.com,2022-12-13T00:00:00+00:00,0.7091,1,0,1,1,0,0,0
https://www.microsoft.com/en-us/security/blog/2025/08/27/storm-0501s-evolving-techniques-lead-to-cloud-based-ransomware/,Storm-0501’s evolving techniques lead to cloud-based ransomware,www.microsoft.com,2025-08-27T16:00:00+00:00,0.6981,1,0,1,1,0,0,0
https://www.microsoft.com/en-us/security/blog/2025/08/21/think-before-you-clickfix-analyzing-the-clickfix-social-engineering-technique/,Think before you Click(Fix): Analyzing the ClickFix social engineering technique,www.microsoft.com,2025-08-21T16:00:00+00:00,0.698,1,0,1,1,0,0,0
https://blog.talosintelligence.com/ransomware_incidents_in_japan_during_the_first_half_of_2025/,Ransomware incidents in Japan during the first half of 2025,blog.talosintelligence.com,2025-08-19T10:00:36+00:00,0.698,1,0,1,1,0,0,0
https://thedfirreport.com/2025/09/08/blurring-the-lines-intrusion-shows-connection-with-three-major-ransomware-gangs/,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,thedfirreport.com,2025-09-08T14:20:31+00:00,0.6808,1,0,1,1,0,0,0
https://thedfirreport.com/2025/08/05/from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira/,From Bing Search to Ransomware: Bumblebee and AdaptixC2 Deliver Akira,thedfirreport.com,2025-08-05T12:00:57+00:00,0.6801,1,0,1,1,0,0,0
https://thedfirreport.com/2025/07/14/kongtuke-filefix-leads-to-new-interlock-rat-variant/,KongTuke FileFix Leads to New Interlock RAT Variant,thedfirreport.com,2025-07-14T00:50:41+00:00,0.6797,1,0,1,1,0,0,0
https://www.huntress.com/blog/obscura-ransomware-variant,"Obscura, an Obscure New Ransomware Variant",www.huntress.com,2025-09-02T19:00:00+00:00,0.6791,1,1,2,2,0,0,1
