URL,Title,Source_Domain,Publish_Date,Score,RepFlag,SigFlag,Quality2,Quality4,has_CVE,has_TID,has_IOC
https://unit42.paloaltonetworks.com/erlang-otp-cve-2025-32433/,Keys to the Kingdom: Erlang/OTP SSH Vulnerability Analysis and Exploits Observed in the Wild,unit42.paloaltonetworks.com,2025-08-11T10:00:48+00:00,0.8653,1,1,2,2,1,0,0
https://www.cisa.gov/news-events/alerts/2025/09/04/cisa-adds-three-known-exploited-vulnerabilities-catalog,CISA Adds Three Known Exploited Vulnerabilities to Catalog,www.cisa.gov,2025-09-04T12:00:00+00:00,0.7166,1,1,2,2,1,0,0
https://www.cisa.gov/news-events/alerts/2025/09/03/cisa-adds-two-known-exploited-vulnerabilities-catalog,CISA Adds Two Known Exploited Vulnerabilities to Catalog,www.cisa.gov,2025-09-03T12:00:00+00:00,0.7165,1,1,2,2,1,0,0
https://www.cisa.gov/news-events/alerts/2025/09/02/cisa-adds-two-known-exploited-vulnerabilities-catalog,CISA Adds Two Known Exploited Vulnerabilities to Catalog,www.cisa.gov,2025-09-02T12:00:00+00:00,0.7165,1,1,2,2,1,0,0
https://www.cisa.gov/news-events/alerts/2025/08/29/cisa-adds-one-known-exploited-vulnerability-catalog,CISA Adds One Known Exploited Vulnerability to Catalog,www.cisa.gov,2025-08-29T12:00:00+00:00,0.7164,1,1,2,2,1,0,0
https://isc.sans.edu/diary/rss/32256,"Exploit Attempts for Dassault DELMIA Apriso. CVE-2025-5086, (Wed, Sep 3rd)",isc.sans.edu,2025-09-03T14:36:19+00:00,0.6991,0,1,1,1,1,0,0
https://unit42.paloaltonetworks.com/attackers-sell-your-bandwidth-using-sdks/,"Your Connection, Their Cash: Threat Actors Misuse SDKs to Sell Your Bandwidth",unit42.paloaltonetworks.com,2025-08-21T10:00:32+00:00,0.6989,1,1,2,2,1,0,0
https://ubuntu.com/security/notices/USN-7734-1,USN-7734-1: Ruby vulnerabilities,ubuntu.com,2025-09-03T12:40:42+00:00,0.6975,1,1,2,3,1,0,1
https://ubuntu.com/security/notices/USN-7735-1,USN-7735-1: RubyGems vulnerabilities,ubuntu.com,2025-09-03T12:43:45+00:00,0.6975,1,1,2,3,1,0,1
https://www.huntress.com/blog/exploitation-of-sonicwall-vpn,Active Exploitation of SonicWall VPNs,www.huntress.com,2025-08-13T22:00:00+00:00,0.6787,1,1,2,2,0,0,1
https://ubuntu.com/security/notices/USN-7741-1,USN-7741-1: PostgreSQL vulnerabilities,ubuntu.com,2025-09-08T14:23:51+00:00,0.6642,1,1,2,2,1,0,0
https://ubuntu.com/security/notices/USN-7731-1,USN-7731-1: KMail vulnerabilities,ubuntu.com,2025-09-02T19:13:09+00:00,0.6641,1,1,2,2,1,0,0
https://ubuntu.com/security/notices/USN-7725-3,USN-7725-3: Linux kernel vulnerabilities,ubuntu.com,2025-09-02T18:45:34+00:00,0.6641,1,1,2,2,1,0,0
https://ubuntu.com/security/notices/USN-7629-2,USN-7629-2: Protocol Buffers vulnerabilities,ubuntu.com,2025-09-02T22:03:54+00:00,0.6641,1,1,2,2,1,0,0
https://ubuntu.com/security/notices/USN-7648-3,USN-7648-3: PHP regression,ubuntu.com,2025-09-04T07:44:55+00:00,0.6641,1,1,2,2,1,0,0
